ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",3,"Native American",18292,3980,"Census Tract 181.01, Bronx County, NY","14000US36005018101"
2022,"2022",3,"Native American",64074,40548,"Census Tract 225, Bronx County, NY","14000US36005022500"
2022,"2022",3,"Native American",24291,4820,"Census Tract 279, Bronx County, NY","14000US36005027900"
2022,"2022",3,"Native American",55556,17204,"Census Tract 393, Bronx County, NY","14000US36005039300"
2022,"2022",3,"Native American",33145,6289,"Census Tract 411, Bronx County, NY","14000US36005041100"
2022,"2022",3,"Native American",94886,58013,"Census Tract 2, Kings County, NY","14000US36047000200"
2022,"2022",3,"Native American",56359,2163,"Census Tract 83, New York County, NY","14000US36061008300"
2022,"2022",3,"Native American",125625,54763,"Census Tract 98, Queens County, NY","14000US36081009800"
2022,"2022",3,"Native American",250001,,"Census Tract 124, Queens County, NY","14000US36081012400"
2022,"2022",3,"Native American",58864,38695,"Census Tract 132, Queens County, NY","14000US36081013200"
2022,"2022",3,"Native American",103169,31133,"Census Tract 840, Queens County, NY","14000US36081084000"
2022,"2022",3,"Native American",90951,640,"Census Tract 11, Richmond County, NY","14000US36085001100"
2021,"2021",3,"Native American",49931,27657,"Census Tract 54, Bronx County, NY","14000US36005005400"
2021,"2021",3,"Native American",41607,38246,"Census Tract 83, Bronx County, NY","14000US36005008300"
2021,"2021",3,"Native American",18346,3822,"Census Tract 181.01, Bronx County, NY","14000US36005018101"
2021,"2021",3,"Native American",110625,35707,"Census Tract 255, Bronx County, NY","14000US36005025500"
2021,"2021",3,"Native American",21927,6430,"Census Tract 279, Bronx County, NY","14000US36005027900"
2021,"2021",3,"Native American",50865,8180,"Census Tract 393, Bronx County, NY","14000US36005039300"
2021,"2021",3,"Native American",70303,14263.000000000002,"Census Tract 429.02, Bronx County, NY","14000US36005042902"
2021,"2021",3,"Native American",110250,45432,"Census Tract 2, Kings County, NY","14000US36047000200"
2021,"2021",3,"Native American",43981,633,"Census Tract 252, Kings County, NY","14000US36047025200"
2021,"2021",3,"Native American",39007,25977,"Census Tract 271, New York County, NY","14000US36061027100"
2021,"2021",3,"Native American",26382,25163,"Census Tract 309, New York County, NY","14000US36061030900"
2021,"2021",3,"Native American",80964,16734,"Census Tract 132, Queens County, NY","14000US36081013200"
2020,"2020",3,"Native American",14033,5889,"Census Tract 141, Bronx County, NY","14000US36005014100"
2020,"2020",3,"Native American",13393,2466,"Census Tract 159, Bronx County, NY","14000US36005015900"
2020,"2020",3,"Native American",10600,5459,"Census Tract 175, Bronx County, NY","14000US36005017500"
2020,"2020",3,"Native American",54356,24012,"Census Tract 224.04, Bronx County, NY","14000US36005022404"
2020,"2020",3,"Native American",53523,45055,"Census Tract 255, Bronx County, NY","14000US36005025500"
2020,"2020",3,"Native American",38021,30358,"Census Tract 369.01, Bronx County, NY","14000US36005036901"
2020,"2020",3,"Native American",23333,8026.999999999999,"Census Tract 309, New York County, NY","14000US36061030900"
2020,"2020",3,"Native American",83926,365,"Census Tract 180, Queens County, NY","14000US36081018000"
2020,"2020",3,"Native American",88750,57419,"Census Tract 620, Queens County, NY","14000US36081062000"
2020,"2020",3,"Native American",33558,8827,"Census Tract 942.01, Queens County, NY","14000US36081094201"
2019,"2019",3,"Native American",24219,14797.000000000002,"Census Tract 23, Bronx County, NY","14000US36005002300"
2019,"2019",3,"Native American",47813,15938.000000000002,"Census Tract 54, Bronx County, NY","14000US36005005400"
2019,"2019",3,"Native American",11667,2140,"Census Tract 72, Bronx County, NY","14000US36005007200"
2019,"2019",3,"Native American",10500,2446,"Census Tract 175, Bronx County, NY","14000US36005017500"
2019,"2019",3,"Native American",51677,7652,"Census Tract 224.04, Bronx County, NY","14000US36005022404"
2019,"2019",3,"Native American",68583,57532.00000000001,"Census Tract 526, Kings County, NY","14000US36047052600"
2019,"2019",3,"Native American",21615,4495,"Census Tract 1058.01, Kings County, NY","14000US36047105801"
2019,"2019",3,"Native American",18000,6567,"Census Tract 6, New York County, NY","14000US36061000600"
2019,"2019",3,"Native American",29191,26325,"Census Tract 18, New York County, NY","14000US36061001800"
2019,"2019",3,"Native American",84461,50197,"Census Tract 255, New York County, NY","14000US36061025500"
2019,"2019",3,"Native American",63516,44228,"Census Tract 269, New York County, NY","14000US36061026900"
2019,"2019",3,"Native American",87083,68693,"Census Tract 620, Queens County, NY","14000US36081062000"
2019,"2019",3,"Native American",31207,841,"Census Tract 942.01, Queens County, NY","14000US36081094201"
2019,"2019",3,"Native American",65430,26333,"Census Tract 213, Richmond County, NY","14000US36085021300"
2018,"2018",3,"Native American",23713,974.0000000000001,"Census Tract 23, Bronx County, NY","14000US36005002300"
2018,"2018",3,"Native American",19013,12350,"Census Tract 48, Bronx County, NY","14000US36005004800"
2018,"2018",3,"Native American",48056,14007,"Census Tract 54, Bronx County, NY","14000US36005005400"
2018,"2018",3,"Native American",53469,29946,"Census Tract 175, Bronx County, NY","14000US36005017500"
2018,"2018",3,"Native American",9132,2113,"Census Tract 179.01, Bronx County, NY","14000US36005017901"
2018,"2018",3,"Native American",56154,28570,"Census Tract 224.04, Bronx County, NY","14000US36005022404"
2018,"2018",3,"Native American",20511,6394,"Census Tract 253, Bronx County, NY","14000US36005025300"
2018,"2018",3,"Native American",21047,12095,"Census Tract 340, Bronx County, NY","14000US36005034000"
2018,"2018",3,"Native American",16921,16832,"Census Tract 403.03, Bronx County, NY","14000US36005040303"
2018,"2018",3,"Native American",31389,15259,"Census Tract 408, Bronx County, NY","14000US36005040800"
2018,"2018",3,"Native American",45500,38454,"Census Tract 429.02, Bronx County, NY","14000US36005042902"
2018,"2018",3,"Native American",61442,58889.99999999999,"Census Tract 252, Kings County, NY","14000US36047025200"
2018,"2018",3,"Native American",16296,2752,"Census Tract 489, Kings County, NY","14000US36047048900"
2018,"2018",3,"Native American",43914,4894,"Census Tract 1058.04, Kings County, NY","14000US36047105804"
2018,"2018",3,"Native American",20878,5889,"Census Tract 6, New York County, NY","14000US36061000600"
2018,"2018",3,"Native American",82066,49633,"Census Tract 255, New York County, NY","14000US36061025500"
2018,"2018",3,"Native American",31178,12144,"Census Tract 942.01, Queens County, NY","14000US36081094201"
2017,"2017",3,"Native American",23794,481,"Census Tract 23, Bronx County, NY","14000US36005002300"
2017,"2017",3,"Native American",53086,25051,"Census Tract 175, Bronx County, NY","14000US36005017500"
2017,"2017",3,"Native American",8830,1131,"Census Tract 179.01, Bronx County, NY","14000US36005017901"
2017,"2017",3,"Native American",39260,18891,"Census Tract 224.04, Bronx County, NY","14000US36005022404"
2017,"2017",3,"Native American",21047,7099,"Census Tract 340, Bronx County, NY","14000US36005034000"
2017,"2017",3,"Native American",16938,13953,"Census Tract 403.03, Bronx County, NY","14000US36005040303"
2017,"2017",3,"Native American",28992,9903,"Census Tract 408, Bronx County, NY","14000US36005040800"
2017,"2017",3,"Native American",80781,14640,"Census Tract 526, Kings County, NY","14000US36047052600"
2017,"2017",3,"Native American",28423,711,"Census Tract 1034, Kings County, NY","14000US36047103400"
2017,"2017",3,"Native American",41250,6528,"Census Tract 1058.04, Kings County, NY","14000US36047105804"
2017,"2017",3,"Native American",20432,7448.000000000001,"Census Tract 6, New York County, NY","14000US36061000600"
2017,"2017",3,"Native American",106050,36201,"Census Tract 480, Queens County, NY","14000US36081048000"
2016,"2016",3,"Native American",23333,4219,"Census Tract 23, Bronx County, NY","14000US36005002300"
2016,"2016",3,"Native American",51282,16090,"Census Tract 175, Bronx County, NY","14000US36005017500"
2016,"2016",3,"Native American",8467,965.0000000000001,"Census Tract 179.01, Bronx County, NY","14000US36005017901"
2016,"2016",3,"Native American",39081,5463,"Census Tract 216.02, Bronx County, NY","14000US36005021602"
2016,"2016",3,"Native American",20924,6095,"Census Tract 253, Bronx County, NY","14000US36005025300"
2016,"2016",3,"Native American",20963,13843,"Census Tract 340, Bronx County, NY","14000US36005034000"
2016,"2016",3,"Native American",28625,15407,"Census Tract 408, Bronx County, NY","14000US36005040800"
2016,"2016",3,"Native American",54167,51308,"Census Tract 257, Kings County, NY","14000US36047025700"
2016,"2016",3,"Native American",77750,25623,"Census Tract 526, Kings County, NY","14000US36047052600"
2016,"2016",3,"Native American",41553,6675,"Census Tract 1058.04, Kings County, NY","14000US36047105804"
2016,"2016",3,"Native American",17944,3532,"Census Tract 6, New York County, NY","14000US36061000600"
2016,"2016",3,"Native American",2499,,"Census Tract 27, New York County, NY","14000US36061002700"
2016,"2016",3,"Native American",27946,20980,"Census Tract 243.02, New York County, NY","14000US36061024302"
2015,"2015",3,"Native American",23616,678,"Census Tract 23, Bronx County, NY","14000US36005002300"
2015,"2015",3,"Native American",34779,4695,"Census Tract 43, Bronx County, NY","14000US36005004300"
2015,"2015",3,"Native American",51013,619,"Census Tract 175, Bronx County, NY","14000US36005017500"
2015,"2015",3,"Native American",8495,854,"Census Tract 179.01, Bronx County, NY","14000US36005017901"
2015,"2015",3,"Native American",39012,7072.000000000001,"Census Tract 216.02, Bronx County, NY","14000US36005021602"
2015,"2015",3,"Native American",21212,17852,"Census Tract 253, Bronx County, NY","14000US36005025300"
2015,"2015",3,"Native American",30625,30298,"Census Tract 399.01, Bronx County, NY","14000US36005039901"
2015,"2015",3,"Native American",16765,6218,"Census Tract 489, Kings County, NY","14000US36047048900"
2015,"2015",3,"Native American",42097,30649,"Census Tract 1058.04, Kings County, NY","14000US36047105804"
2015,"2015",3,"Native American",2499,,"Census Tract 27, New York County, NY","14000US36061002700"
2015,"2015",3,"Native American",11553,1072,"Census Tract 168, New York County, NY","14000US36061016800"
2015,"2015",3,"Native American",29485,29195.999999999996,"Census Tract 243.02, New York County, NY","14000US36061024302"
2015,"2015",3,"Native American",18359,16566,"Census Tract 25, Queens County, NY","14000US36081002500"
2015,"2015",3,"Native American",48772,4754,"Census Tract 267, Queens County, NY","14000US36081026700"
2015,"2015",3,"Native American",44792,18109,"Census Tract 444, Queens County, NY","14000US36081044400"
2015,"2015",3,"Native American",51146,8795,"Census Tract 1207, Queens County, NY","14000US36081120700"
2014,"2014",3,"Native American",22625,43249,"Census Tract 23, Bronx County, NY","14000US36005002300"
2014,"2014",3,"Native American",34737,4194,"Census Tract 43, Bronx County, NY","14000US36005004300"
2014,"2014",3,"Native American",49583,102396,"Census Tract 50.02, Bronx County, NY","14000US36005005002"
2014,"2014",3,"Native American",34659,71261,"Census Tract 141, Bronx County, NY","14000US36005014100"
2014,"2014",3,"Native American",50912,835,"Census Tract 175, Bronx County, NY","14000US36005017500"
2014,"2014",3,"Native American",21739,34181,"Census Tract 216.02, Bronx County, NY","14000US36005021602"
2014,"2014",3,"Native American",34563,12806,"Census Tract 241, Bronx County, NY","14000US36005024100"
2014,"2014",3,"Native American",21103,16891,"Census Tract 253, Bronx County, NY","14000US36005025300"
2014,"2014",3,"Native American",30893,37550,"Census Tract 399.01, Bronx County, NY","14000US36005039901"
2014,"2014",3,"Native American",42850,36456,"Census Tract 429.02, Bronx County, NY","14000US36005042902"
2014,"2014",3,"Native American",15909,5446,"Census Tract 78, Kings County, NY","14000US36047007800"
2014,"2014",3,"Native American",15052,7897.000000000001,"Census Tract 80, Kings County, NY","14000US36047008000"
2014,"2014",3,"Native American",9063,19443,"Census Tract 127, Kings County, NY","14000US36047012700"
2014,"2014",3,"Native American",84000,24362,"Census Tract 441, Kings County, NY","14000US36047044100"
2014,"2014",3,"Native American",68229,109304,"Census Tract 505, Kings County, NY","14000US36047050500"
2014,"2014",3,"Native American",41728,11928,"Census Tract 1058.04, Kings County, NY","14000US36047105804"
2014,"2014",3,"Native American",20625,18126,"Census Tract 25, New York County, NY","14000US36061002500"
2014,"2014",3,"Native American",2499,,"Census Tract 27, New York County, NY","14000US36061002700"
2014,"2014",3,"Native American",85101,166856,"Census Tract 103, New York County, NY","14000US36061010300"
2014,"2014",3,"Native American",29044,14368.999999999998,"Census Tract 234, New York County, NY","14000US36061023400"
2014,"2014",3,"Native American",45278,23045,"Census Tract 243.02, New York County, NY","14000US36061024302"
2014,"2014",3,"Native American",51184,62727.00000000001,"Census Tract 277, New York County, NY","14000US36061027700"
2014,"2014",3,"Native American",49033,18020,"Census Tract 267, Queens County, NY","14000US36081026700"
2014,"2014",3,"Native American",42857,52740,"Census Tract 444, Queens County, NY","14000US36081044400"
2014,"2014",3,"Native American",100333,114466,"Census Tract 788, Queens County, NY","14000US36081078800"
2014,"2014",3,"Native American",24375,95908,"Census Tract 70, Richmond County, NY","14000US36085007000"
2013,"2013",3,"Native American",2499,,"Census Tract 23, Bronx County, NY","14000US36005002300"
2013,"2013",3,"Native American",22955,26005,"Census Tract 63, Bronx County, NY","14000US36005006300"
2013,"2013",3,"Native American",70313,78830,"Census Tract 141, Bronx County, NY","14000US36005014100"
2013,"2013",3,"Native American",21379,25942,"Census Tract 216.02, Bronx County, NY","14000US36005021602"
2013,"2013",3,"Native American",30536,29943.999999999996,"Census Tract 399.01, Bronx County, NY","14000US36005039901"
2013,"2013",3,"Native American",38125,94318,"Census Tract 425, Bronx County, NY","14000US36005042500"
2013,"2013",3,"Native American",44250,82141,"Census Tract 429.02, Bronx County, NY","14000US36005042902"
2013,"2013",3,"Native American",16042,5585,"Census Tract 78, Kings County, NY","14000US36047007800"
2013,"2013",3,"Native American",16739,25531,"Census Tract 80, Kings County, NY","14000US36047008000"
2013,"2013",3,"Native American",41080,30845,"Census Tract 98, Kings County, NY","14000US36047009800"
2013,"2013",3,"Native American",64338,70959,"Census Tract 565, Kings County, NY","14000US36047056500"
2013,"2013",3,"Native American",20313,23265,"Census Tract 25, New York County, NY","14000US36061002500"
2013,"2013",3,"Native American",2499,,"Census Tract 27, New York County, NY","14000US36061002700"
2013,"2013",3,"Native American",43906,85458,"Census Tract 103, New York County, NY","14000US36061010300"
2013,"2013",3,"Native American",60729,96435,"Census Tract 189, New York County, NY","14000US36061018900"
2013,"2013",3,"Native American",28571,21970,"Census Tract 234, New York County, NY","14000US36061023400"
2013,"2013",3,"Native American",30536,24794,"Census Tract 243.02, New York County, NY","14000US36061024302"
2013,"2013",3,"Native American",14683,1825.9999999999998,"Census Tract 245, New York County, NY","14000US36061024500"
2013,"2013",3,"Native American",44063,37895,"Census Tract 444, Queens County, NY","14000US36081044400"
2013,"2013",3,"Native American",47250,107236,"Census Tract 788, Queens County, NY","14000US36081078800"